sku,description,demand_pattern,model_used,date,forecast,forecast_lower,forecast_upper,mape_backtest,wmape_backtest,bias_pct,holiday_adjusted
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-07-01,44.91835779604635,37.247141049060126,52.867475152808574,17.49290907491126,19.804270970656944,-15.407770704814386,False
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-08-01,16.97446024406576,8.649329787629506,24.506552612846573,17.49290907491126,19.804270970656944,-15.407770704814386,False
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-09-01,30.46315757807447,22.536754824649258,37.84803120500793,17.49290907491126,19.804270970656944,-15.407770704814386,False
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-10-01,31.25800644577445,23.14827308334693,39.43850799832297,17.49290907491126,19.804270970656944,-15.407770704814386,False
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-11-01,12.738852084371263,4.202009961566471,20.81724713052154,17.49290907491126,19.804270970656944,-15.407770704814386,False
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-12-01,24.25442321368626,16.549708360713392,32.2427392126957,17.49290907491126,19.804270970656944,-15.407770704814386,False
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2027-01-01,42.37316023831405,34.56883194523018,50.06295181214212,17.49290907491126,19.804270970656944,-15.407770704814386,False
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2027-02-01,21.50821411751941,13.074743815244757,29.333314703282422,17.49290907491126,19.804270970656944,-15.407770704814386,False
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2027-03-01,30.55795022261832,22.221773943512748,38.088361559956574,17.49290907491126,19.804270970656944,-15.407770704814386,False
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,2026-04-01,16.257719800368697,0.0,35.060586298005475,18.761724027973635,19.98599870285172,4.543707770199185,False
